Student_ID,Attendance_Percentage,Classes_Attended,Total_Classes,Assignments_Completed,Previous_Attendance,Risk
S001,95,38,40,9,93,0
S002,88,35,40,8,86,0
S003,76,30,40,7,78,0
S004,62,25,40,6,65,1
S005,54,22,40,5,58,1
S006,91,36,40,9,90,0
S007,48,19,40,4,52,1
S008,82,33,40,8,80,0
S009,67,27,40,6,70,1
S010,97,39,40,10,95,0
S011,59,24,40,5,61,1
S012,73,29,40,7,75,0
S013,45,18,40,3,49,1
S014,86,34,40,9,84,0
S015,64,26,40,6,68,1
S016,93,37,40,9,91,0
S017,51,20,40,4,55,1
S018,79,32,40,8,77,0
S019,69,28,40,6,71,1
S020,89,36,40,9,88,0
